ProductID,NetWeightKG
Green Plum 5kg,"5,13"
UFO Peach 10 x 500g,"5,40"
Apricot 16 x 350g,"5,75"
Nectarine 10 x 500g,"5,40"
Plum 10 x 500g,"5,40"
Peach 10 x 500g,"5,40"
Strawberry 10 x 250g,"2,6"
UFO Nectarine 10 x 500g,"5,40"
Cherry 10 x 500g,"5,40"
Cherry 5kg Loose,"5,13"
Cherry 8 x 630g,"5,10"
Cherry 16 x 350g,"6,00"
Pear 10 x 500g,"5,40"
Watermelon (Seedless) 20kg Open Top,"21,00"
Watermelon (Seeded) 360kg(W),"380,00"
Watermelon (Seeded) 360kg(C),"380,00"
Watermelon (Seeded) 20kg Open Top,"21,00"
Black Fig 6 x 250g,"1,7"
Black Fig 6 x 200g,"1,4"
Black Fig 6 x 160g,"1,1"
Black Fig 700g,"0,75"

Black Fig 1.4kg,"1,5"
